iter	Passed	Remaining
406	5798	8447
407	5811	8432
408	5826	8418
409	5840	8405
410	5853	8388
411	5867	8373
412	5880	8358
413	5892	8341
414	5905	8325
415	5917	8307
416	5930	8291
417	5944	8276
418	5959	8263
419	5972	8247
420	5984	8230
421	5997	8214
422	6010	8198
423	6023	8182
424	6035	8165
425	6049	8150
426	6062	8135
427	6076	8120
428	6089	8105
429	6103	8090
430	6115	8073
431	6129	8058
432	6141	8042
433	6157	8030
434	6171	8015
435	6184	7999
436	6196	7983
437	6209	7967
438	6221	7950
439	6234	7934
440	6246	7918
441	6259	7902
442	6272	7886
443	6285	7871
444	6299	7856
445	6313	7841
446	6328	7828
447	6343	7816
448	6358	7802
449	6373	7789
450	6388	7776
451	6403	7763
452	6418	7750
453	6432	7736
454	6447	7723
455	6460	7707
456	6473	7691
457	6486	7676
458	6500	7661
459	6512	7644
460	6524	7628
461	6539	7615
462	6554	7601
463	6568	7587
464	6581	7572
465	6596	7559
466	6611	7545
467	6629	7535
468	6650	7529
469	6674	7526
470	6694	7518
471	6708	7504
472	6721	7489
473	6735	7474
474	6748	7459
475	6761	7443
476	6774	7427
477	6787	7412
478	6801	7397
479	6815	7383
480	6830	7369
481	6846	7357
482	6860	7342
483	6875	7329
484	6890	7316
485	6905	7303
486	6919	7288
487	6934	7276
488	6950	7263
489	6964	7248
490	6979	7235
491	6993	7221
492	7007	7206
493	7022	7193
494	7036	7178
495	7050	7164
496	7065	7150
497	7080	7137
498	7096	7124
499	7110	7110
500	7124	7095
501	7140	7083
502	7155	7069
503	7170	7057
504	7185	7043
505	7200	7029
506	7215	7015
507	7231	7003
508	7249	6992
509	7268	6983
510	7282	6968
511	7294	6952
512	7307	6937
513	7320	6921
514	7333	6906
515	7347	6891
516	7360	6876
517	7373	6861
518	7388	6847
519	7404	6834
520	7419	6821
521	7434	6807
522	7448	6792
523	7463	6780
524	7478	6766
525	7492	6751
526	7506	6737
527	7518	6721
528	7531	6706
529	7543	6689
530	7557	6675
531	7571	6660
532	7584	6645
533	7598	6630
534	7611	6615
535	7624	6600
536	7638	6585
537	7651	6570
538	7667	6558
539	7683	6545
540	7699	6532
541	7717	6521
542	7751	6523
543	7773	6516
544	7787	6501
545	7802	6487
546	7815	6472
547	7828	6457
548	7841	6441
549	7854	6426
550	7866	6410
551	7879	6394
552	7895	6381
553	7907	6366
554	7920	6350
555	7932	6334
556	7945	6319
557	7958	6303
558	7971	6288
559	7988	6276
560	8004	6263
561	8019	6249
562	8033	6235
563	8046	6220
564	8059	6205
565	8071	6189
566	8084	6173
567	8098	6159
568	8113	6145
569	8128	6132
570	8143	6118
571	8159	6105
572	8173	6090
573	8187	6076
574	8202	6062
575	8219	6050
576	8235	6037
577	8251	6024
578	8267	6011
579	8282	5997
580	8296	5983
581	8311	5969
582	8326	5955
583	8342	5942
584	8357	5928
585	8374	5916
586	8389	5902
587	8406	5890
588	8422	5877
589	8437	5863
590	8451	5848
591	8467	5835
592	8481	5821
593	8500	5809
594	8515	5796
595	8532	5783
596	8548	5770
597	8563	5756
598	8576	5741
599	8589	5726
600	8602	5710
601	8614	5695
602	8627	5680
603	8640	5665
604	8653	5649
605	8666	5634
606	8678	5619
607	8691	5603
608	8705	5589
609	8719	5574
610	8733	5560
611	8749	5547
612	8765	5533
613	8781	5520
614	8800	5509
615	8823	5500
616	8848	5492
617	8865	5479
618	8877	5464
619	8890	5449
620	8904	5434
621	8917	5419
622	8930	5403
623	8941	5388
624	8954	5372
625	8968	5358
626	8984	5344
627	8996	5329
628	9009	5314
629	9022	5298
630	9035	5284
631	9051	5270
632	9065	5256
633	9080	5241
634	9094	5227
635	9108	5213
636	9122	5198
637	9135	5183
638	9149	5168
639	9162	5153
640	9175	5138
641	9190	5124
642	9205	5110
643	9219	5096
644	9234	5082
645	9248	5068
646	9264	5054
647	9278	5040
648	9293	5026
649	9310	5013
