iter	RMSE
0	32.91082304
1	31.49483048
2	30.20388509
3	28.93651632
4	27.79529409
5	26.76006576
6	25.78228164
7	24.90679713
8	24.10468063
9	23.29985893
10	22.56614821
11	21.87491678
12	21.25382354
13	20.66851445
14	20.11574927
15	19.61108248
16	19.14728858
17	18.68402982
18	18.30844404
19	17.9108366
20	17.5759994
21	17.25941978
22	16.95201661
23	16.64719793
24	16.41530151
25	16.18748348
26	15.94771229
27	15.75619644
28	15.55639185
29	15.36567626
30	15.19615706
31	15.01557331
32	14.86034462
33	14.72770197
34	14.59763081
35	14.47815762
36	14.35177331
37	14.25110781
38	14.13848923
39	14.04729014
40	13.9570372
41	13.86088339
42	13.79802329
43	13.72535553
44	13.65441757
45	13.59240143
46	13.51735964
47	13.46099982
48	13.40851986
49	13.3608738
50	13.30815631
51	13.25920552
52	13.22235903
53	13.17504944
54	13.12503756
55	13.07837237
56	13.04890039
57	12.99931227
58	12.94938185
59	12.90733788
60	12.8795431
61	12.83948705
62	12.80382403
63	12.76332852
64	12.73014545
65	12.69273779
66	12.67229696
67	12.64215232
68	12.62161958
69	12.59467303
70	12.56383585
71	12.54185689
72	12.52339115
73	12.50094741
74	12.47508808
75	12.45172488
76	12.4206208
77	12.39237884
78	12.37043322
79	12.35809823
80	12.33454125
81	12.31341673
82	12.29841916
83	12.28393833
84	12.26863638
85	12.25170011
86	12.23037165
87	12.21628813
88	12.20345968
89	12.17526249
90	12.16136862
91	12.14234356
92	12.12913567
93	12.10240113
94	12.08747134
95	12.08136216
96	12.07387003
97	12.05596165
98	12.03527104
99	12.01969228
100	11.99721279
101	11.98689365
102	11.97954498
103	11.96808549
104	11.95157597
105	11.93334685
106	11.91960714
107	11.90097194
108	11.88808801
109	11.87520018
110	11.87174329
111	11.8612751
112	11.8503461
113	11.84209172
114	11.82984874
115	11.81865914
116	11.80648905
117	11.79596888
118	11.78057494
119	11.76971978
120	11.75311521
121	11.73265433
122	11.71426391
123	11.69923989
124	11.68628595
125	11.6703971
126	11.65441774
127	11.63904714
128	11.63358544
129	11.62034493
130	11.6047067
131	11.59189476
132	11.58311832
133	11.57521987
134	11.56812743
135	11.55736
136	11.5391656
137	11.51884656
138	11.51182796
139	11.49160894
140	11.48162292
141	11.46693336
142	11.45189809
143	11.44382817
144	11.43250031
145	11.42049674
146	11.40896573
147	11.39566054
148	11.38728807
149	11.37257066
150	11.36035636
151	11.34774865
152	11.3394366
153	11.32840595
154	11.31234781
155	11.29613967
156	11.28288712
157	11.27326064
158	11.26254724
159	11.24468079
160	11.24175883
161	11.222614
162	11.20307237
163	11.19397872
164	11.18350195
165	11.17821684
166	11.16166366
167	11.14642727
168	11.13122684
169	11.12190577
170	11.11087498
171	11.10031116
172	11.08737633
173	11.07347156
174	11.06169722
175	11.04446018
176	11.03518083
177	11.01725631
178	11.00080553
179	10.98249201
180	10.97081154
181	10.96477606
182	10.95851527
183	10.94584087
184	10.93156106
185	10.91724618
186	10.90771213
187	10.90005487
188	10.89060731
189	10.87765032
190	10.86544318
191	10.85318014
192	10.84119207
193	10.82944892
194	10.81684596
195	10.8101084
196	10.7983907
197	10.79038835
198	10.78270266
199	10.76468283
200	10.7546268
201	10.74623718
202	10.73529344
203	10.72373234
204	10.7093414
205	10.70065968
206	10.69212388
207	10.68377455
208	10.67225954
209	10.65410695
210	10.64649176
211	10.64021865
212	10.63293073
213	10.6224151
214	10.60345848
215	10.58918606
216	10.58091845
217	10.57277175
218	10.56624572
219	10.55878284
220	10.55040955
221	10.53424043
222	10.52513674
223	10.5221228
224	10.51533528
225	10.50254991
226	10.49020862
227	10.48199828
228	10.46858784
229	10.46382131
230	10.45692278
231	10.44532938
232	10.43690406
233	10.43161667
234	10.42332728
235	10.41957829
236	10.40754501
237	10.39215082
238	10.38545119
239	10.3743317
240	10.36728519
241	10.3553983
242	10.34680142
243	10.33967956
244	10.33227099
245	10.32945475
246	10.31985233
247	10.31394259
248	10.30774208
249	10.30197411
250	10.29425731
251	10.28068195
252	10.2780907
253	10.27102075
254	10.26255636
255	10.25691173
256	10.24692418
257	10.23759851
258	10.23374075
259	10.22633071
260	10.21744914
261	10.21129381
262	10.20059698
263	10.18689106
264	10.17992438
265	10.17299153
266	10.16585609
267	10.15735608
268	10.14774713
269	10.14358604
270	10.13055484
271	10.12267153
272	10.11440485
273	10.11401245
274	10.10578869
275	10.09456617
276	10.09422457
277	10.08421016
278	10.07456418
279	10.07189648
280	10.06211248
281	10.05819504
282	10.0469733
283	10.0400974
284	10.02705298
285	10.0188452
286	10.01607784
287	10.0101102
288	10.00978084
289	10.00667776
290	9.9868501
291	9.977408181
292	9.969342267
293	9.961792757
294	9.955112995
295	9.947727888
296	9.937338245
297	9.92937284
298	9.929056588
299	9.924076072
300	9.923430634
301	9.915181235
302	9.911856237
303	9.903163823
304	9.896737655
305	9.891145346
306	9.885893443
307	9.880177535
308	9.869590368
309	9.860866821
310	9.852413334
311	9.849083046
312	9.837901426
313	9.8352075
314	9.831431622
315	9.821302299
316	9.808948796
317	9.800239663
318	9.79263454
319	9.791113971
320	9.785361099
321	9.774074906
322	9.772171559
323	9.766801948
324	9.762676508
325	9.755192233
326	9.749705013
327	9.739827961
328	9.731457227
329	9.728957633
330	9.720285683
331	9.704903959
332	9.695576441
333	9.691189928
334	9.685637411
335	9.683825957
336	9.677420081
337	9.673707695
338	9.666100797
339	9.655473373
340	9.651578265
341	9.644002736
342	9.639085122
343	9.635810908
344	9.630819267
345	9.62930963
346	9.620306318
347	9.61380152
348	9.607966394
349	9.598535225
350	9.595827819
351	9.587936287
352	9.57930256
353	9.573393961
354	9.562035331
355	9.560240655
356	9.554321054
357	9.549769124
358	9.54588041
359	9.539774257
360	9.531512436
361	9.527998891
362	9.523098881
363	9.515278438
364	9.511496578
365	9.509325395
366	9.498329397
367	9.494104341
368	9.491252137
369	9.485052582
370	9.476808589
371	9.468666348
372	9.460848836
373	9.452686212
374	9.444870683
375	9.435489472
376	9.425858733
377	9.422720955
378	9.41921199
379	9.417647979
380	9.409915925
381	9.405832834
382	9.398833118
383	9.392869755
384	9.389190285
385	9.38613967
386	9.381368042
387	9.37508703
388	9.37485558
389	9.36502191
390	9.363386118
391	9.358576918
392	9.352153181
393	9.345422693
394	9.339023795
395	9.334693393
396	9.330782567
397	9.330596781
398	9.322081529
399	9.314886339
400	9.314162628
401	9.310967662
402	9.301241931
403	9.293572963
404	9.290509888
405	9.284232376
406	9.282872308
407	9.279902165
408	9.274977289
409	9.265772797
410	9.259751239
411	9.255058247
412	9.252198364
413	9.248673942
414	9.246572347
415	9.244330752
416	9.23943112
417	9.232459713
418	9.229385091
419	9.222946272
420	9.219992148
421	9.215299714
422	9.209579584
423	9.208434023
424	9.208256385
425	9.202406981
426	9.193908328
427	9.189375548
428	9.183255368
429	9.175094411
430	9.171569266
431	9.168093931
432	9.159669673
433	9.150380522
434	9.14640375
435	9.143405175
436	9.139812082
437	9.136814444
438	9.133535925
439	9.128584155
440	9.121766813
441	9.116869313
442	9.113468444
443	9.106689081
444	9.103705085
445	9.102724571
446	9.097984467
447	9.090521433
448	9.083791333
449	9.07589896
450	9.071691053
451	9.067897163
452	9.064279251
453	9.060477875
454	9.055093537
455	9.051360767
456	9.047738882
457	9.03996672
458	9.035293954
459	9.035114598
460	9.02744454
461	9.020831944
462	9.013854499
463	9.008995887
464	9.004983675
465	9.003374345
466	8.999946201
467	8.994150777
468	8.991242731
469	8.985350226
470	8.976808256
471	8.972233035
472	8.968700174
473	8.966826212
474	8.959128901
475	8.958179363
476	8.954646926
477	8.950761541
478	8.946668469
479	8.942447433
480	8.94175451
481	8.932998651
482	8.928744923
483	8.918068328
484	8.913496785
485	8.90879819
486	8.90678816
487	8.903536486
488	8.899052662
489	8.894709082
490	8.891469314
491	8.888478717
492	8.88389528
493	8.877796979
494	8.875219786
495	8.87206609
496	8.868879201
497	8.860182431
498	8.85336466
499	8.848410642
500	8.843690824
501	8.842861211
502	8.840095493
503	8.836261923
504	8.833073067
505	8.831310006
506	8.827214723
507	8.818741051
508	8.812757243
509	8.808204619
510	8.805605871
511	8.80504684
512	8.800539493
513	8.797645638
514	8.792983208
515	8.790167794
516	8.786593305
517	8.782723445
518	8.781482185
519	8.778961572
520	8.778083772
521	8.776057399
522	8.774700941
523	8.773998095
524	8.769841709
525	8.767442119
526	8.762487356
527	8.759256297
528	8.755465745
529	8.754702521
530	8.750717316
531	8.746272411
532	8.745242107
533	8.742345328
534	8.738235076
535	8.736826923
536	8.736603849
537	8.735149882
538	8.73106362
539	8.728181318
540	8.724095857
541	8.722293784
542	8.718065331
543	8.709658132
544	8.707328169
545	8.703154768
546	8.697852669
547	8.695349708
548	8.691915864
549	8.691088818
550	8.687862361
551	8.687594567
552	8.68082262
553	8.676978892
554	8.672967008
555	8.672813595
556	8.666385409
557	8.663333371
558	8.658050689
559	8.650452076
560	8.643958732
561	8.639556417
562	8.63936838
563	8.635265484
564	8.630286218
565	8.626612267
566	8.623205536
567	8.620307285
568	8.616448257
569	8.610100808
570	8.606374566
571	8.604009731
572	8.602432163
573	8.60015531
574	8.592630535
575	8.586620458
576	8.578855873
577	8.575924652
578	8.574874359
579	8.57046785
580	8.568415728
581	8.564098879
582	8.560787131
583	8.558345163
584	8.55703548
585	8.552032386
586	8.54983797
587	8.546224057
588	8.542471719
589	8.538229139
590	8.535618143
591	8.534117104
592	8.533947218
593	8.527365126
594	8.523117213
595	8.520993493
596	8.520861763
597	8.515917692
598	8.514819214
599	8.510872241
600	8.50750299
601	8.505006999
602	8.500575742
603	8.495431263
604	8.488802247
605	8.48621797
606	8.485283394
607	8.484086115
608	8.47773253
609	8.473343355
610	8.468592743
611	8.466639566
612	8.463173421
613	8.459807661
614	8.459391251
615	8.45496869
616	8.452070476
617	8.449296293
618	8.445774388
619	8.44177614
620	8.43879665
621	8.435526619
622	8.432309386
623	8.430995555
624	8.427278342
625	8.425129312
626	8.420577238
627	8.420460523
628	8.417232435
629	8.410149914
630	8.407809586
631	8.405502184
632	8.404239559
633	8.400638881
634	8.396436414
635	8.391661972
636	8.387618507
637	8.384748141
638	8.382412259
639	8.37986513
640	8.377203806
641	8.376723678
642	8.373089926
643	8.368047213
644	8.36412356
645	8.361986223
646	8.35756762
647	8.353108738
648	8.350347356
649	8.347417115
650	8.345232475
651	8.343022592
652	8.339777128
653	8.336840312
654	8.333060843
655	8.327068273
656	8.323975786
657	8.318613648
658	8.316758255
659	8.313242969
660	8.309712284
661	8.305820918
662	8.303114687
663	8.300164105
664	8.296622263
665	8.29617167
666	8.293792299
667	8.290116474
668	8.287089042
669	8.283437651
670	8.281040273
671	8.278623636
672	8.276367958
673	8.273952498
674	8.27031649
675	8.265861775
676	8.263459351
677	8.261182697
678	8.258452342
679	8.254332328
680	8.254065917
681	8.249786055
682	8.247094448
683	8.242691905
684	8.240776514
685	8.237522417
686	8.235591053
687	8.232553767
688	8.230681351
689	8.229344395
690	8.227023094
691	8.224412508
692	8.222465451
693	8.218861644
694	8.216776207
695	8.21179838
696	8.209536118
697	8.207636328
698	8.20600252
699	8.199190968
700	8.194871786
701	8.193292735
702	8.190001886
703	8.187445075
704	8.184650197
705	8.182755346
706	8.179047454
707	8.173652072
708	8.168766198
709	8.165548067
710	8.163673809
711	8.16277093
712	8.157877923
713	8.154580324
714	8.150721146
715	8.14898977
716	8.144390954
717	8.142357384
718	8.138369783
719	8.136623511
720	8.133500165
721	8.13110561
722	8.126001728
723	8.125790382
724	8.123584261
725	8.121020305
726	8.116644113
727	8.111647534
728	8.107980514
729	8.104671384
730	8.103286523
731	8.100322568
732	8.098273111
733	8.090652627
734	8.086733072
735	8.082947414
736	8.080860468
737	8.077774806
738	8.073249187
739	8.068132121
740	8.066059167
741	8.064235844
742	8.061370093
743	8.058017617
744	8.057041543
745	8.053914695
746	8.046365396
747	8.04208178
748	8.039700588
749	8.037592663
750	8.032334229
751	8.027863496
752	8.023241024
753	8.020547888
754	8.019760291
755	8.015956129
756	8.012940265
757	8.009927507
758	8.008727867
759	8.005657168
760	8.004678325
761	8.000633548
762	7.998326322
763	7.992642245
764	7.989224653
765	7.986959086
766	7.981400382
767	7.978387618
768	7.976881032
769	7.97272301
770	7.970393186
771	7.966642509
772	7.965469904
773	7.961304114
774	7.957288454
775	7.956419826
776	7.953923627
777	7.950731038
778	7.948042606
779	7.943876517
780	7.941790698
781	7.939116846
782	7.938020988
783	7.935426533
784	7.934377307
785	7.933219534
786	7.933053252
787	7.931787281
788	7.927360864
789	7.923060877
790	7.921387506
791	7.917016911
792	7.912851608
793	7.911722523
794	7.90928387
795	7.905130792
796	7.902864391
797	7.901062339
798	7.899321243
799	7.896842344
800	7.89292526
801	7.891324749
802	7.889033614
803	7.887853153
804	7.88587429
805	7.883465588
806	7.883281524
807	7.876750803
808	7.873185599
809	7.872117133
810	7.868665492
811	7.866141215
812	7.863012364
813	7.860936227
814	7.858389661
815	7.857639627
816	7.854614341
817	7.849914327
818	7.848534729
819	7.845076802
820	7.84210443
821	7.840354374
822	7.839576672
823	7.837642875
824	7.835481173
825	7.834695968
826	7.833636792
827	7.830699468
828	7.829413176
829	7.828878045
830	7.827599557
831	7.826482095
832	7.821983726
833	7.818023579
834	7.81044378
835	7.805340296
836	7.803961953
837	7.803412827
838	7.801152027
839	7.797825611
840	7.794774558
841	7.792757486
842	7.78976828
843	7.788105249
844	7.785654407
845	7.783518319
846	7.779652753
847	7.776579054
848	7.773328019
849	7.772384338
850	7.77065395
851	7.767779563
852	7.76692681
853	7.765464629
854	7.764749997
855	7.762674466
856	7.762611921
857	7.76095971
858	7.759997859
859	7.757572921
860	7.755218062
861	7.753903383
862	7.750779217
863	7.747499325
864	7.744324585
865	7.743296681
866	7.740128021
867	7.739690892
868	7.737329093
869	7.735018656
870	7.733799131
871	7.732715564
872	7.72784658
873	7.724678682
874	7.72342196
875	7.722711145
876	7.719926283
877	7.718569272
878	7.717051084
879	7.715994197
880	7.714428957
881	7.713235492
882	7.711904257
883	7.709804071
884	7.707348672
885	7.707257603
886	7.704082909
887	7.702603759
888	7.700416622
889	7.697517954
890	7.694078237
891	7.691771043
892	7.691319214
893	7.689590369
894	7.688078272
895	7.686877716
896	7.684922824
897	7.682038953
898	7.67853882
899	7.677545315
900	7.676929127
901	7.674318019
902	7.671882751
903	7.670201413
904	7.667726164
905	7.666537106
906	7.663778496
907	7.661268886
908	7.660170948
909	7.658971207
910	7.658281551
911	7.654755072
912	7.652924611
913	7.652321702
914	7.648834946
915	7.647994364
916	7.647928868
917	7.64507383
918	7.645010295
919	7.643857457
920	7.641804621
921	7.641751378
922	7.640974164
923	7.638892182
924	7.636011079
925	7.632916749
926	7.629072531
927	7.626181856
928	7.624328548
929	7.621927465
930	7.618307236
931	7.616759788
932	7.616323596
933	7.613833401
934	7.610370812
935	7.609317907
936	7.608396843
937	7.604824681
938	7.602114385
939	7.600774616
940	7.600234902
941	7.598716612
942	7.596033318
943	7.595061468
944	7.593526994
945	7.590393757
946	7.588549055
947	7.58737316
948	7.586384433
949	7.583152167
950	7.581275133
951	7.578190809
952	7.576108479
953	7.574053555
954	7.573885156
955	7.571324177
956	7.567693362
957	7.564167979
958	7.562706187
959	7.560723018
960	7.560515275
961	7.557359334
962	7.557299961
963	7.55334884
964	7.549972943
965	7.549365019
966	7.546621225
967	7.546503875
968	7.545523123
969	7.542871886
970	7.538596893
971	7.535892371
972	7.535120177
973	7.533549821
974	7.531264592
975	7.52945848
976	7.526548821
977	7.523788382
978	7.522225625
979	7.519106307
980	7.519061942
981	7.516079615
982	7.514337948
983	7.512939675
984	7.511587793
985	7.509469271
986	7.508303864
987	7.504442498
988	7.502571998
989	7.50054365
990	7.496574738
991	7.495272712
992	7.494792813
993	7.49469286
994	7.49214667
995	7.490281748
996	7.488979782
997	7.48739941
998	7.483515167
999	7.481296812
